Robustness Type, Dataset, Num Data, Distance, Time, Input ID, Num Iterations, Epsilon, Degree, Brightness

Lp,mnist,6,l2,9.864955186843872,"[849, 184, 0, 808, 1089, 505]",11,0.03,-,-
Lp,mnist,15,l2,53.37864351272583,"[1047, 1124, 559, 1031, 687, 1046, 836, 1, 777, 1113, 60, 626, 41, 935, 723]",29,0.03,-,-
Lp,mnist,4,l2,55.88217854499817,"[2, 50, 899, 132]",7,0.03,-,-
Lp,mnist,33,l2,240.11865782737732,"[209, 66, 1002, 918, 251, 936, 449, 274, 435, 683, 890, 623, 298, 3, 149, 93, 468, 65, 122, 506, 758, 769, 91, 237, 607, 678, 48, 429, 381, 426, 293, 834, 183]",61,0.03,-,-
Lp,mnist,5,l2,7.436177730560303,"[107, 781, 4, 897, 771]",9,0.03,-,-
Lp,mnist,23,l2,353.53717255592346,"[74, 491, 446, 711, 19, 315, 207, 5, 586, 1114, 610, 961, 146, 433, 365, 1076, 191, 727, 583, 1112, 1098, 258, 398]",43,0.03,-,-
Lp,mnist,9,l2,111.56415486335754,"[530, 693, 716, 329, 95, 277, 1018, 96, 7]",17,0.03,-,-
Lp,mnist,3,l2,14.953107357025146,"[20, 192, 8]",5,0.03,-,-
Lp,mnist,14,l2,72.74133515357971,"[142, 129, 165, 109, 872, 9, 968, 115, 63, 510, 582, 154, 1044, 337]",27,0.03,-,-
Lp,mnist,6,l2,18.988256692886353,"[634, 1006, 170, 977, 439, 10]",11,0.03,-,-
Lp,mnist,5,l2,2.5029942989349365,"[526, 642, 795, 362, 11]",9,0.03,-,-
Lp,mnist,5,l2,11.772453308105469,"[895, 13, 106, 335, 265]",9,0.03,-,-
Lp,mnist,5,l2,7.623021125793457,"[14, 215, 30, 725, 669]",9,0.03,-,-
Lp,mnist,9,l2,51.21729230880737,"[815, 930, 15, 147, 866, 440, 152, 376, 624]",17,0.03,-,-
Lp,mnist,4,l2,802.3829350471497,"[148, 784, 17, 390]",5,0.03,-,-
Lp,mnist,5,l2,6.530960321426392,"[990, 21, 625, 23, 974]",9,0.03,-,-
Lp,mnist,4,l2,19.92369818687439,"[939, 22, 597, 1077]",7,0.03,-,-
Lp,mnist,3,l2,11.287082195281982,"[49, 588, 25]",5,0.03,-,-
Lp,mnist,5,l2,16.979098081588745,"[389, 960, 1102, 26, 36]",9,0.03,-,-
Lp,mnist,20,l2,49.2292582988739,"[931, 944, 731, 657, 951, 443, 344, 71, 432, 920, 46, 967, 507, 783, 97, 190, 973, 431, 137, 27]",37,0.03,-,-
Lp,mnist,13,l2,43.535035371780396,"[448, 208, 502, 256, 83, 729, 136, 29, 492, 156, 452, 965, 173]",23,0.03,-,-
Lp,mnist,7,l2,44.34041929244995,"[966, 31, 399, 464, 206, 196, 671]",13,0.03,-,-
Lp,mnist,5,l2,14.63064980506897,"[1079, 193, 32, 1119, 128]",9,0.03,-,-
Lp,mnist,3,l2,9.111533403396606,"[637, 1009, 33]",5,0.03,-,-
Lp,mnist,4,l2,19.168694972991943,"[34, 394, 1010, 706]",7,0.03,-,-
Lp,mnist,16,l2,142.77664518356323,"[652, 569, 994, 61, 346, 749, 395, 766, 956, 308, 854, 1101, 703, 92, 35, 312]",31,0.03,-,-
Lp,mnist,5,l2,16.929723739624023,"[37, 495, 859, 820, 598]",9,0.03,-,-
Lp,mnist,10,l2,33.106438398361206,"[991, 1005, 720, 38, 1109, 240, 497, 775, 159, 553]",19,0.03,-,-
Lp,mnist,6,l2,96.97587656974792,"[512, 40, 1059, 792, 508, 246]",11,0.03,-,-
Lp,mnist,9,l2,35.778024673461914,"[241, 53, 1058, 826, 59, 42, 233, 493, 547]",17,0.03,-,-
Lp,mnist,9,l2,49.08516478538513,"[767, 554, 334, 883, 43, 461, 799, 163, 350]",17,0.03,-,-
Lp,mnist,6,l2,49.31646752357483,"[44, 825, 386, 922, 243, 383]",11,0.03,-,-
Lp,mnist,8,l2,29.25824999809265,"[811, 1004, 400, 791, 45, 1123, 281, 584]",13,0.03,-,-
Lp,mnist,4,l2,28.111743688583374,"[341, 537, 998, 51]",7,0.03,-,-
Lp,mnist,14,l2,196.60911750793457,"[1000, 52, 457, 735, 679, 589, 111, 1045, 342, 84, 195, 166, 1063, 829]",27,0.03,-,-
Lp,mnist,16,l2,55.883352518081665,"[285, 214, 210, 606, 305, 797, 158, 388, 842, 1075, 955, 203, 754, 223, 927, 54]",31,0.03,-,-
Lp,mnist,6,l2,78.60601353645325,"[55, 976, 780, 750, 75, 363]",11,0.03,-,-
Lp,mnist,9,l2,618.6949417591095,"[145, 382, 756, 691, 481, 56, 259, 488, 635]",9,0.03,-,-
Lp,mnist,5,l2,22.625920057296753,"[804, 685, 1055, 1064, 57]",9,0.03,-,-
Lp,mnist,11,l2,1007.7083940505981,"[403, 1049, 981, 67, 633, 1035, 272, 420, 135, 126, 523]",19,0.03,-,-
Lp,mnist,9,l2,167.47691917419434,"[576, 117, 708, 331, 473, 525, 70, 182, 249]",15,0.03,-,-
Lp,mnist,7,l2,39.29833793640137,"[72, 1118, 200, 378, 798, 953, 1051]",9,0.03,-,-
Lp,mnist,4,l2,34.63740611076355,"[880, 73, 411, 528]",7,0.03,-,-
Lp,mnist,3,l2,15.844985723495483,"[675, 76, 1060]",5,0.03,-,-
Lp,mnist,4,l2,18.72759747505188,"[997, 266, 77, 162]",7,0.03,-,-
Lp,mnist,5,l2,15.660868167877197,"[1072, 359, 1062, 80, 174]",9,0.03,-,-
Lp,mnist,10,l2,61.1636643409729,"[628, 377, 1083, 529, 728, 413, 82, 138, 1020, 415]",19,0.03,-,-
Lp,mnist,5,l2,10.089533567428589,"[361, 85, 928, 980, 1056]",9,0.03,-,-
Lp,mnist,3,l2,25.498321056365967,"[460, 86, 307]",5,0.03,-,-
Lp,mnist,5,l2,42.56391501426697,"[793, 1015, 938, 856, 87]",9,0.03,-,-
Lp,mnist,5,l2,20.1832435131073,"[88, 755, 104, 504, 903]",9,0.03,-,-
Lp,mnist,3,l2,5.590145587921143,"[90, 934, 1122]",5,0.03,-,-
Lp,mnist,4,l2,24.858426809310913,"[923, 100, 276, 581]",5,0.03,-,-
Lp,mnist,3,l2,1.6357007026672363,"[962, 198, 101]",5,0.03,-,-
